,Venue Name,Coordinates,Latitude,Longitude
0,0,"(42.3709104, -72.5170028)",42.3709104,-72.5170028
1,1,"(44.1057216, -70.2021865)",44.1057216,-70.2021865
2,2,"(43.9076929, -69.9639971)",43.9076929,-69.9639971
3,3,"(44.5638691, -69.6626362)",44.5638691,-69.6626362
4,4,"(41.3786923, -72.1046019)",41.3786923,-72.1046019
5,5,"(43.0527984, -75.4059719)",43.0527984,-75.4059719
6,6,"(44.0081076, -73.1760413)",44.0081076,-73.1760413
7,7,"(41.7478797, -72.6905199)",41.7478797,-72.6905199
8,8,"(42.4074843, -71.1190232)",42.4074843,-71.1190232
9,9,"(41.5566104, -72.65690409999999)",41.5566104,-72.65690409999999
10,10,"(42.7128843, -73.20313949999999)",42.7128843,-73.20313949999999
