,Date,Team 1,Team 2,Location,Day (Str)
0,2015-09-18,Amherst College,Connecticut College,Amherst College,Fri. 
1,2015-09-19,Amherst College,Tufts University,Amherst College,Sat. 
2,2015-09-23,Amherst College,Williams College,Williams College,Wed. 
3,2015-10-02,Amherst College,Colby College,Amherst College,Fri. 
4,2015-10-03,Amherst College,Bates College,Amherst College,Sat. 
5,2015-10-09,Amherst College,Middlebury College,Middlebury College,Fri. 
6,2015-10-10,Amherst College,Hamilton College,Hamilton College,Sat. 
7,2015-10-16,Amherst College,Bowdoin College,Amherst College,Fri. 
8,2015-10-30,Amherst College,Trinity College,Trinity College,Fri. 
9,2015-10-31,Amherst College,Wesleyan University,Wesleyan University,Sat. 
10,2015-09-18,Bates College,Wesleyan University,Bates College,Fri. 
11,2015-09-19,Bates College,Trinity College,Bates College,Sat. 
12,2015-09-25,Bates College,Colby College,Bates College,Fri. 
13,2015-10-02,Bates College,Williams College,Williams College,Fri. 
14,2015-10-03,Bates College,Amherst College,Amherst College,Sat. 
15,2015-10-09,Bates College,Tufts University,Tufts University,Fri. 
16,2015-10-10,Bates College,Connecticut College,Connecticut College,Sat. 
17,2015-10-16,Bates College,Hamilton College,Bates College,Fri. 
18,2015-10-17,Bates College,Middlebury College,Bates College,Sat. 
19,2015-10-31,Bates College,Bowdoin College,Bates College,Sat. 
20,2015-09-18,Bowdoin College,Middlebury College,Middlebury College,Fri. 
21,2015-09-19,Bowdoin College,Hamilton College,Hamilton College,Sat. 
22,2015-10-02,Bowdoin College,Connecticut College,Bowdoin College,Fri. 
23,2015-10-03,Bowdoin College,Tufts University,Bowdoin College,Sat. 
24,2015-10-09,Bowdoin College,Trinity College,Bowdoin College,Fri. 
25,2015-10-10,Bowdoin College,Wesleyan University,Bowdoin College,Sat. 
26,2015-10-16,Bowdoin College,Amherst College,Amherst College,Fri. 
27,2015-10-17,Bowdoin College,Williams College,Williams College,Sat. 
28,2015-10-30,Bowdoin College,Colby College,"Waterville, Maine.",Fri. 
29,2015-10-31,Bowdoin College,Bates College,Bates College,Sat. 
30,2015-09-18,Colby College,Trinity College,Colby College,Fri. 
31,2015-09-19,Colby College,Wesleyan University,Colby College,Sat. 
32,2015-09-25,Colby College,Bates College,Bates College,Fri. 
33,2015-10-02,Colby College,Amherst College,Amherst College,Fri. 
34,2015-10-03,Colby College,Williams College,Williams College,Sat. 
