,0,1,2,3,4,5,6,7,8,9,10
0,0:00,3:24,3:19,3:55,1:40,3:18,2:54,1:01,1:45,1:14,1:26
1,3:24,0:00,0:39,0:51,3:42,6:14,4:26,3:39,2:14,3:51,4:22
2,3:19,0:39,0:00,0:52,3:38,6:10,4:22,3:35,2:10,3:47,4:18
3,3:55,0:51,0:52,0:00,4:13,6:45,4:57,4:10,2:45,4:22,4:54
4,1:40,3:42,3:38,4:13,0:00,4:07,4:13,0:52,1:50,0:39,2:38
5,3:18,6:14,6:10,6:45,4:07,0:00,3:29,3:26,4:20,3:39,2:33
6,2:54,4:26,4:22,4:57,4:13,3:29,0:00,3:32,3:14,3:45,2:09
7,1:01,3:39,3:35,4:10,0:52,3:26,3:32,0:00,1:46,0:24,1:57
8,1:45,2:14,2:10,2:45,1:50,4:20,3:14,1:46,0:00,1:58,2:43
9,1:14,3:51,3:47,4:22,0:39,3:39,3:45,0:24,1:58,0:00,2:10
10,1:26,4:22,4:18,4:54,2:38,2:33,2:09,1:57,2:43,2:10,0:00
