,0,1,2,3,4,5,6,7,8,9,10
0,0,12246,11955,14157,6048,11888,10498,3664,6314,4469,5170
1,12246,0,2356,3109,13325,22484,15980,13177,8045,13879,15769
2,11955,2356,0,3163,13081,22239,15736,12933,7801,13635,15525
3,14157,3109,3163,0,15201,24359,17856,15052,9921,15754,17644
4,6048,13325,13081,15201,0,14848,15203,3158,6622,2388,9519
5,11888,22484,22239,24359,14848,0,12569,12379,15630,13184,9181
6,10498,15980,15736,17856,15203,12569,0,12739,11680,13544,7771
7,3664,13177,12933,15052,3158,12379,12739,0,6410,1461,7066
8,6314,8045,7801,9921,6622,15630,11680,6410,0,7084,9819
9,4469,13879,13635,15754,2388,13184,13544,1461,7084,0,7803
10,5170,15769,15525,17644,9519,9181,7771,7066,9819,7803,0
