,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2014-09-19,Amherst College,Trinity College,Trinity College
1,Sat.,2014-09-20,Amherst College,Wesleyan University,Wesleyan University
2,Fri.,2014-09-26,Amherst College,Williams College,Amherst College
3,Fri.,2014-10-03,Amherst College,Middlebury College,Amherst College
4,Sat.,2014-10-04,Amherst College,Hamilton College,Amherst College
5,Sat.,2014-10-11,Amherst College,Bates College,Bates College
6,Fri.,2014-10-17,Amherst College,Connecticut College,Connecticut College
7,Sat.,2014-10-18,Amherst College,Tufts University,Tufts University
8,Fri.,2014-10-31,Amherst College,Bowdoin College,Amherst College
9,Sat.,2014-11-01,Amherst College,Colby College,Amherst College
10,Fri.,2014-09-19,Bates College,Hamilton College,Hamilton College
11,Sat.,2014-09-20,Bates College,Middlebury College,Middlebury College
12,Fri.,2014-10-03,Bates College,Tufts University,Bates College
13,Sat.,2014-10-04,Bates College,Connecticut College,Bates College
14,Fri.,2014-10-10,Bates College,Williams College,Bates College
15,Sat.,2014-10-11,Bates College,Amherst College,Bates College
16,Fri.,2014-10-17,Bates College,Bowdoin College,Bowdoin College
17,Fri.,2014-10-24,Bates College,Colby College,Colby College
18,Fri.,2014-10-31,Bates College,Wesleyan University,Wesleyan University
19,Sat.,2014-11-01,Bates College,Trinity College,Trinity College
20,Fri.,2014-09-19,Bowdoin College,Connecticut College,Bowdoin College
21,Sat.,2014-09-20,Bowdoin College,Tufts University,Bowdoin College
22,Fri.,2014-09-26,Bowdoin College,Colby College,Bowdoin College
23,Fri.,2014-10-03,Bowdoin College,Trinity College,Bowdoin College
24,Sat.,2014-10-04,Bowdoin College,Wesleyan University,Bowdoin College
25,Fri.,2014-10-10,Bowdoin College,Middlebury College,Middlebury College
26,Sat.,2014-10-11,Bowdoin College,Hamilton College,Hamilton College
27,Fri.,2014-10-17,Bowdoin College,Bates College,Bowdoin College
28,Fri.,2014-10-31,Bowdoin College,Amherst College,Amherst College
29,Sat.,2014-11-01,Bowdoin College,Williams College,Williams College
30,Fri.,2014-09-19,Colby College,Tufts University,Colby College
31,Sat.,2014-09-20,Colby College,Connecticut College,Colby College
32,Fri.,2014-09-26,Colby College,Bowdoin College,Bowdoin College
33,Fri.,2014-10-03,Colby College,Wesleyan University,Colby College
34,Sat.,2014-10-04,Colby College,Trinity College,Colby College
35,Fri.,2014-10-10,Colby College,Hamilton College,Hamilton College
36,Sat.,2014-10-11,Colby College,Middlebury College,Middlebury College
37,Fri.,2014-10-24,Colby College,Bates College,Colby College
38,Fri.,2014-10-31,Colby College,Williams College,Williams College
39,Sat.,2014-11-01,Colby College,Amherst College,Amherst College
40,Fri.,2014-09-19,Connecticut College,Bowdoin College,Bowdoin College
41,Sat.,2014-09-20,Connecticut College,Colby College,Colby College
42,Sat.,2014-09-27,Connecticut College,Tufts University,Connecticut College
43,Sat.,2014-10-04,Connecticut College,Bates College,Bates College
44,Fri.,2014-10-10,Connecticut College,Trinity College,Connecticut College
45,Sat.,2014-10-11,Connecticut College,Wesleyan University,Connecticut College
46,Fri.,2014-10-17,Connecticut College,Amherst College,Connecticut College
47,Sat.,2014-10-18,Connecticut College,Williams College,Connecticut College
48,Fri.,2014-10-31,Connecticut College,Middlebury College,Middlebury College
49,Sat.,2014-11-01,Connecticut College,Hamilton College,Hamilton College
50,Fri.,2014-09-19,Hamilton College,Bates College,Hamilton College
51,Fri.,2014-09-26,Hamilton College,Middlebury College,Middlebury College
52,Fri.,2014-10-03,Hamilton College,Williams College,Williams College
53,Sat.,2014-10-04,Hamilton College,Amherst College,Amherst College
54,Fri.,2014-10-10,Hamilton College,Colby College,Hamilton College
55,Sat.,2014-10-11,Hamilton College,Bowdoin College,Hamilton College
56,Fri.,2014-10-17,Hamilton College,Wesleyan University,Wesleyan University
57,Sat.,2014-10-18,Hamilton College,Trinity College,Trinity College
58,Fri.,2014-10-31,Hamilton College,Tufts University,Hamilton College
59,Sat.,2014-11-01,Hamilton College,Connecticut College,Hamilton College
60,Sat.,2014-09-20,Middlebury College,Bates College,Middlebury College
61,Fri.,2014-09-26,Middlebury College,Hamilton College,Middlebury College
62,Fri.,2014-10-03,Middlebury College,Amherst College,Amherst College
63,Sat.,2014-10-04,Middlebury College,Williams College,Williams College
64,Fri.,2014-10-10,Middlebury College,Bowdoin College,Middlebury College
65,Sat.,2014-10-11,Middlebury College,Colby College,Middlebury College
66,Fri.,2014-10-17,Middlebury College,Trinity College,Trinity College
67,Sat.,2014-10-18,Middlebury College,Wesleyan University,Wesleyan University
68,Fri.,2014-10-31,Middlebury College,Connecticut College,Middlebury College
69,Sat.,2014-11-01,Middlebury College,Tufts University,Middlebury College
70,Fri.,2014-09-19,Trinity College,Amherst College,Trinity College
71,Sat.,2014-09-20,Trinity College,Williams College,Trinity College
72,Fri.,2014-09-26,Trinity College,Wesleyan University,Trinity College
73,Fri.,2014-10-03,Trinity College,Bowdoin College,Bowdoin College
74,Sat.,2014-10-04,Trinity College,Colby College,Colby College
75,Fri.,2014-10-10,Trinity College,Connecticut College,Connecticut College
76,Sat.,2014-10-11,Trinity College,Tufts University,Tufts University
77,Fri.,2014-10-17,Trinity College,Middlebury College,Trinity College
78,Sat.,2014-10-18,Trinity College,Hamilton College,Trinity College
79,Sat.,2014-11-01,Trinity College,Bates College,Trinity College
80,Fri.,2014-09-19,Tufts University,Colby College,Colby College
81,Sat.,2014-09-20,Tufts University,Bowdoin College,Bowdoin College
82,Sat.,2014-09-27,Tufts University,Connecticut College,Connecticut College
83,Fri.,2014-10-03,Tufts University,Bates College,Bates College
84,Fri.,2014-10-10,Tufts University,Wesleyan University,Tufts University
85,Sat.,2014-10-11,Tufts University,Trinity College,Tufts University
86,Fri.,2014-10-17,Tufts University,Williams College,Tufts University
87,Sat.,2014-10-18,Tufts University,Amherst College,Tufts University
88,Fri.,2014-10-31,Tufts University,Hamilton College,Hamilton College
89,Sat.,2014-11-01,Tufts University,Middlebury College,Middlebury College
90,Fri.,2014-09-19,Wesleyan University,Williams College,Wesleyan University
91,Sat.,2014-09-20,Wesleyan University,Amherst College,Wesleyan University
92,Fri.,2014-09-26,Wesleyan University,Trinity College,Trinity College
93,Fri.,2014-10-03,Wesleyan University,Colby College,Colby College
94,Sat.,2014-10-04,Wesleyan University,Bowdoin College,Bowdoin College
95,Fri.,2014-10-10,Wesleyan University,Tufts University,Tufts University
96,Sat.,2014-10-11,Wesleyan University,Connecticut College,Connecticut College
97,Fri.,2014-10-17,Wesleyan University,Hamilton College,Wesleyan University
98,Sat.,2014-10-18,Wesleyan University,Middlebury College,Wesleyan University
99,Fri.,2014-10-31,Wesleyan University,Bates College,Wesleyan University
100,Fri.,2014-09-19,Williams College,Wesleyan University,Wesleyan University
101,Sat.,2014-09-20,Williams College,Trinity College,Trinity College
102,Fri.,2014-09-26,Williams College,Amherst College,Amherst College
103,Fri.,2014-10-03,Williams College,Hamilton College,Williams College
104,Sat.,2014-10-04,Williams College,Middlebury College,Williams College
