,Day (Str),Date,Team 1,Team 2,Location
0,Fri.,2019-09-20,Bates College,Amherst College,Bates College
1,Fri.,2019-09-20,Colby College,Middlebury College,Colby College
2,Fri.,2019-09-20,Connecticut College,Tufts University,Connecticut College
3,Fri.,2019-09-20,Wesleyan University,Bowdoin College,Wesleyan University
4,Fri.,2019-09-20,Williams College,Trinity College,Williams College
5,Sat.,2019-09-21,Bates College,Middlebury College,Bates College
6,Sat.,2019-09-21,Colby College,Amherst College,Colby College
7,Sat.,2019-09-21,Connecticut College,Bowdoin College,Connecticut College
8,Sat.,2019-09-21,Hamilton College,Trinity College,Hamilton College
9,Sat.,2019-09-21,Wesleyan University,Tufts University,Wesleyan University
10,Thu.,2019-09-26,Wesleyan University,Connecticut College,Connecticut College
11,Fri.,2019-09-27,Amherst College,Middlebury College,Amherst College
12,Fri.,2019-09-27,Hamilton College,Williams College,Hamilton College
13,Fri.,2019-09-27,Tufts University,Bowdoin College,Tufts University
14,Sat.,2019-09-28,Bates College,Colby College,Bates College
15,Fri.,2019-10-04,Bates College,Connecticut College,Bates College
16,Fri.,2019-10-04,Bowdoin College,Williams College,Bowdoin College
17,Fri.,2019-10-04,Colby College,Wesleyan University,Colby College
18,Fri.,2019-10-04,Trinity College,Middlebury College,Trinity College
19,Fri.,2019-10-04,Tufts University,Hamilton College,Tufts University
20,Sat.,2019-10-05,Bates College,Wesleyan University,Bates College
21,Sat.,2019-10-05,Bowdoin College,Hamilton College,Bowdoin College
22,Sat.,2019-10-05,Colby College,Connecticut College,Colby College
23,Sat.,2019-10-05,Trinity College,Amherst College,Trinity College
24,Sat.,2019-10-05,Tufts University,Williams College,Tufts University
25,Fri.,2019-10-11,Amherst College,Connecticut College,Amherst College
26,Fri.,2019-10-11,Hamilton College,Bates College,Hamilton College
27,Fri.,2019-10-11,Middlebury College,Wesleyan University,Middlebury College
28,Fri.,2019-10-11,Trinity College,Bowdoin College,Trinity College
29,Fri.,2019-10-11,Williams College,Colby College,Williams College
30,Sat.,2019-10-12,Amherst College,Wesleyan University,Amherst College
31,Sat.,2019-10-12,Hamilton College,Colby College,Hamilton College
32,Sat.,2019-10-12,Middlebury College,Connecticut College,Middlebury College
33,Sat.,2019-10-12,Trinity College,Tufts University,Trinity College
34,Sat.,2019-10-12,Williams College,Bates College,Williams College
35,Thu.,2019-10-17,Wesleyan University,Trinity College,Wesleyan University
36,Fri.,2019-10-25,Amherst College,Tufts University,Amherst College
37,Fri.,2019-10-25,Colby College,Trinity College,Colby College
38,Fri.,2019-10-25,Connecticut College,Hamilton College,Connecticut College
39,Fri.,2019-10-25,Middlebury College,Bowdoin College,Middlebury College
40,Fri.,2019-10-25,Wesleyan University,Williams College,Wesleyan University
41,Sat.,2019-10-26,Amherst College,Bowdoin College,Amherst College
42,Sat.,2019-10-26,Bates College,Trinity College,Bates College
43,Sat.,2019-10-26,Connecticut College,Williams College,Connecticut College
44,Sat.,2019-10-26,Middlebury College,Tufts University,Middlebury College
45,Sat.,2019-10-26,Wesleyan University,Hamilton College,Wesleyan University
46,Fri.,2019-11-01,Bowdoin College,Colby College,Bowdoin College
47,Fri.,2019-11-01,Connecticut College,Trinity College,Connecticut College
48,Fri.,2019-11-01,Hamilton College,Amherst College,Hamilton College
49,Fri.,2019-11-01,Tufts University,Bates College,Tufts University
50,Fri.,2019-11-01,Williams College,Middlebury College,Williams College
51,Sat.,2019-11-02,Bowdoin College,Bates College,Bowdoin College
52,Sat.,2019-11-02,Hamilton College,Middlebury College,Hamilton College
53,Sat.,2019-11-02,Tufts University,Colby College,Tufts University
54,Sat.,2019-11-02,Williams College,Amherst College,Williams College
