,Team 2,Date,Team 1,Location,Month
0,Trinity,Fri. 18,Bates,Bates,September
1,Wesleyan,Fri. 18,Tufts,Tufts,September
2,Colby,Fri. 18,Amherst,Bates,September
3,Bowdoin,Fri. 18,Connecticut College,Tufts,September
4,Amherst,Sat. 19,Bates,Bates,September
5,Bowdoin,Sat. 19,Wesleyan,Tufts,September
6,Connecticut College,Sat. 19,Tufts,Tufts,September
7,Colby,Sat. 19,Trinity,Bates,September
8,Williams,Tue. 22,Hamilton,Hamilton,September
9,Amherst,Fri. 2,Williams,Williams,October
10,Colby,Fri. 2,Wesleyan,Wesleyan,October
11,Trinity,Fri. 2,Hamilton,Williams,October
12,Bates,Fri. 2,Connecticut College,Wesleyan,October
13,Amherst,Sat. 3,Hamilton,Williams,October
14,Trinity,Sat. 3,Middlebury,Williams,October
15,Colby,Sat. 3,Connecticut College,Wesleyan,October
16,Bates,Sat. 3,Wesleyan,Wesleyan,October
17,Trinity,Sat. 3,Williams,Williams,October
18,Amherst,Sat. 3,Middlebury,Williams,October
19,Bowdoin,Wed. 7,Tufts,Tufts,October
20,Middlebury,Fri. 9,Connecticut College,Connecticut College,October
21,Colby,Fri. 9,Bowdoin,Bowdoin,October
22,Bates,Fri. 9,Tufts,Bowdoin,October
23,Wesleyan,Fri. 9,Williams,Connecticut College,October
24,Wesleyan,Sat. 10,Hamilton,Connecticut College,October
25,Bates,Sat. 10,Bowdoin,Bowdoin,October
26,Williams,Sat. 10,Connecticut College,Connecticut College,October
27,Colby,Sat. 10,Tufts,Bowdoin,October
28,Hamilton,Sat. 10,Connecticut College,Connecticut College,October
29,Wesleyan,Sat. 10,Middlebury,Connecticut College,October
30,Wesleyan,Fri. 16,Trinity,Trinity,October
31,Tufts,Fri. 16,Middlebury,Middlebury,October
32,Bowdoin,Fri. 16,Hamilton,Middlebury,October
33,Connecticut College,Fri. 16,Amherst,Trinity,October
34,Wesleyan,Sat. 17,Amherst,Trinity,October
35,Tufts,Sat. 17,Hamilton,Middlebury,October
36,Bowdoin,Sat. 17,Williams,Middlebury,October
37,Bowdoin,Sat. 17,Middlebury,Middlebury,October
38,Connecticut College,Sat. 17,Trinity,Trinity,October
39,Tufts,Sat. 17,Williams,Middlebury,October
40,Hamilton,Sat. 17,Middlebury,Middlebury,October
41,Colby,Wed. 21,Bates,Bates,October
42,Amherst,Wed. 21,Trinity,Trinity,October
43,Middlebury,Wed. 28,Williams,Williams,October
44,Colby,Fri. 30,Hamilton,Hamilton,October
45,Bowdoin,Fri. 30,Amherst,Amherst,October
46,Wesleyan,Fri. 30,Connecticut College,Connecticut College,October
47,Tufts,Fri. 30,Trinity,Amherst,October
48,Bates,Fri. 30,Williams,Hamilton,October
49,Colby,Sat. 31,Middlebury,Hamilton,October
50,Tufts,Sat. 31,Amherst,Amherst,October
51,Bates,Sat. 31,Hamilton,Hamilton,October
52,Bowdoin,Sat. 31,Trinity,Amherst,October
53,Colby,Sat. 31,Williams,Hamilton,October
54,Bates,Sat. 31,Middlebury,Hamilton,October
