,Date,Month,Team 1,Team 2,Location
0,Fri. 16,September,Connecticut College,Williams,
1,Fri. 16,September,Wesleyan,Amherst,
2,Fri. 16,September,Bowdoin,Colby,
3,Fri. 16,September,Hamilton,Tufts,
4,Fri. 16,September,Middlebury,Trinity,
5,Sat. 17,September,Tufts,Williams,
6,Sat. 17,September,Trinity,Amherst,
7,Sat. 17,September,Colby,Bates,
8,Sat. 17,September,Connecticut College,Hamilton,
9,Sat. 17,September,Wesleyan,Middlebury,
10,Sun. 18,September,Bates,Bowdoin,
11,Fri. 30,September,Bowdoin,Tufts,
12,Fri. 30,September,Hamilton,Trinity,
13,Fri. 30,September,Middlebury,Amherst,
14,Fri. 30,September,Connecticut College,Colby,
15,Fri. 30,September,Wesleyan,Williams,
16,Sat. 1,October,Bates,Tufts,
17,Sat. 1,October,Williams,Trinity,
18,Sat. 1,October,Bowdoin,Connecticut College,
19,Sat. 1,October,Bates,Connecticut College,
20,Sat. 1,October,Hamilton,Wesleyan,
21,Sat. 1,October,Tufts,Colby,
22,Sat. 1,October,Hamilton,Williams,
23,Fri. 7,October,Williams,Bowdoin,
24,Fri. 7,October,Tufts,Amherst,
25,Fri. 7,October,Trinity,Wesleyan,
26,Fri. 7,October,Hamilton,Bates,
27,Fri. 7,October,Connecticut College,Middlebury,
28,Sat. 8,October,Amherst,Connecticut College,
29,Sat. 8,October,Hamilton,Colby,
30,Sat. 8,October,Williams,Bates,
31,Sat. 8,October,Williams,Colby,
32,Sat. 8,October,Hamilton,Bowdoin,
33,Sat. 8,October,Tufts,Middlebury,
34,Fri. 14,October,Trinity,Connecticut College,
35,Fri. 14,October,Colby,Amherst,
36,Fri. 14,October,Wesleyan,Tufts,
37,Fri. 14,October,Bowdoin,Middlebury,
38,Sat. 15,October,Amherst,Bowdoin,
39,Sat. 15,October,Wesleyan,Connecticut College,
40,Sat. 15,October,Middlebury,Bates,
41,Sat. 15,October,Trinity,Tufts,
42,Sat. 15,October,Bates,Amherst,
43,Sat. 15,October,Colby,Middlebury,
44,Fri. 28,October,Amherst,Williams,
45,Fri. 28,October,Connecticut College,Tufts,
46,Fri. 28,October,Bates,Trinity,
47,Fri. 28,October,Middlebury,Hamilton,
48,Fri. 28,October,Bowdoin,Wesleyan,
49,Sat. 29,October,Bowdoin,Trinity,
50,Sat. 29,October,Middlebury,Williams,
51,Sat. 29,October,Wesleyan,Colby,
52,Sat. 29,October,Bates,Wesleyan,
53,Sat. 29,October,Amherst,Hamilton,
54,Sat. 29,October,Colby,Trinity,
