,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Fri.,2,Amherst College,Colby College,Bowdoin College
1,0,Sat.,7,Amherst College,Bates College,Bowdoin College
2,0,Sat.,8,Amherst College,Bowdoin College,Bowdoin College
3,1,Sat.,2,Amherst College,Tufts University,Tufts University
4,2,Sat.,1,Amherst College,Hamilton College,Middlebury College
5,3,Fri.,0,Amherst College,Williams College,Williams College
6,3,Sat.,1,Amherst College,Middlebury College,Williams College
7,4,Fri.,2,Amherst College,Trinity College,Amherst College
8,4,Sat.,4,Amherst College,Connecticut College,Amherst College
9,4,Sat.,7,Amherst College,Wesleyan University,Amherst College
10,0,Fri.,1,Bates College,Middlebury College,Bowdoin College
11,0,Sat.,6,Bates College,Williams College,Bowdoin College
12,0,Sat.,7,Bates College,Amherst College,Bowdoin College
13,1,Fri.,2,Bates College,Trinity College,Trinity College
14,1,Sat.,4,Bates College,Connecticut College,Trinity College
15,1,Sat.,8,Bates College,Wesleyan University,Trinity College
16,2,Fri.,0,Bates College,Bowdoin College,Bates College
17,2,Sat.,1,Bates College,Colby College,Bates College
18,3,Sat.,1,Bates College,Tufts University,Colby College
19,4,Fri.,0,Bates College,Hamilton College,Colby College
20,0,Fri.,0,Bowdoin College,Williams College,Bowdoin College
21,0,Sat.,4,Bowdoin College,Middlebury College,Bowdoin College
22,0,Sat.,8,Bowdoin College,Amherst College,Bowdoin College
23,1,Fri.,0,Bowdoin College,Connecticut College,Trinity College
24,1,Sat.,3,Bowdoin College,Wesleyan University,Trinity College
25,1,Sat.,7,Bowdoin College,Trinity College,Trinity College
26,2,Fri.,0,Bowdoin College,Bates College,Bates College
27,2,Sat.,2,Bowdoin College,Colby College,Bates College
28,3,Sat.,2,Bowdoin College,Tufts University,Colby College
29,4,Sat.,1,Bowdoin College,Hamilton College,Colby College
30,0,Fri.,2,Colby College,Amherst College,Bowdoin College
31,0,Sat.,3,Colby College,Middlebury College,Bowdoin College
32,0,Sat.,5,Colby College,Williams College,Bowdoin College
33,1,Fri.,1,Colby College,Wesleyan University,Trinity College
34,1,Sat.,5,Colby College,Connecticut College,Trinity College
35,1,Sat.,6,Colby College,Trinity College,Trinity College
36,2,Sat.,1,Colby College,Bates College,Bates College
37,2,Sat.,2,Colby College,Bowdoin College,Bates College
38,3,Fri.,0,Colby College,Tufts University,Colby College
39,4,Sat.,2,Colby College,Hamilton College,Colby College
40,0,Fri.,0,Connecticut College,Wesleyan University,Connecticut College
41,0,Sat.,1,Connecticut College,Trinity College,Connecticut College
42,1,Fri.,0,Connecticut College,Bowdoin College,Trinity College
43,1,Sat.,4,Connecticut College,Bates College,Trinity College
44,1,Sat.,5,Connecticut College,Colby College,Trinity College
45,2,Sat.,1,Connecticut College,Tufts University,Wesleyan University
46,3,Sat.,1,Connecticut College,Hamilton College,Wesleyan University
47,4,Fri.,0,Connecticut College,Williams College,Amherst College
48,4,Sat.,3,Connecticut College,Middlebury College,Amherst College
49,4,Sat.,4,Connecticut College,Amherst College,Amherst College
50,0,Sat.,0,Hamilton College,Tufts University,Hamilton College
51,2,Fri.,0,Hamilton College,Williams College,Middlebury College
52,2,Sat.,1,Hamilton College,Amherst College,Middlebury College
53,2,Sat.,2,Hamilton College,Middlebury College,Middlebury College
54,3,Fri.,0,Hamilton College,Trinity College,Wesleyan University
55,3,Sat.,1,Hamilton College,Connecticut College,Wesleyan University
56,3,Sat.,2,Hamilton College,Wesleyan University,Wesleyan University
57,4,Fri.,0,Hamilton College,Bates College,Colby College
58,4,Sat.,1,Hamilton College,Bowdoin College,Colby College
59,4,Sat.,2,Hamilton College,Colby College,Colby College
60,0,Fri.,1,Middlebury College,Bates College,Bowdoin College
61,0,Sat.,3,Middlebury College,Colby College,Bowdoin College
62,0,Sat.,4,Middlebury College,Bowdoin College,Bowdoin College
63,1,Fri.,0,Middlebury College,Tufts University,Tufts University
64,2,Sat.,2,Middlebury College,Hamilton College,Middlebury College
65,3,Sat.,1,Middlebury College,Amherst College,Williams College
66,3,Sat.,2,Middlebury College,Williams College,Williams College
67,4,Fri.,1,Middlebury College,Wesleyan University,Amherst College
68,4,Sat.,3,Middlebury College,Connecticut College,Amherst College
69,4,Sat.,8,Middlebury College,Trinity College,Amherst College
70,0,Sat.,1,Trinity College,Connecticut College,Connecticut College
71,0,Sat.,2,Trinity College,Wesleyan University,Connecticut College
72,1,Fri.,2,Trinity College,Bates College,Trinity College
73,1,Sat.,6,Trinity College,Colby College,Trinity College
74,1,Sat.,7,Trinity College,Bowdoin College,Trinity College
75,2,Fri.,0,Trinity College,Tufts University,Wesleyan University
76,3,Fri.,0,Trinity College,Hamilton College,Wesleyan University
77,4,Fri.,2,Trinity College,Amherst College,Amherst College
78,4,Sat.,6,Trinity College,Williams College,Amherst College
79,4,Sat.,8,Trinity College,Middlebury College,Amherst College
80,0,Sat.,0,Tufts University,Hamilton College,Hamilton College
81,1,Fri.,0,Tufts University,Middlebury College,Tufts University
82,1,Sat.,1,Tufts University,Williams College,Tufts University
83,1,Sat.,2,Tufts University,Amherst College,Tufts University
84,2,Fri.,0,Tufts University,Trinity College,Wesleyan University
85,2,Sat.,1,Tufts University,Connecticut College,Wesleyan University
86,2,Sat.,2,Tufts University,Wesleyan University,Wesleyan University
87,3,Fri.,0,Tufts University,Colby College,Colby College
88,3,Sat.,1,Tufts University,Bates College,Colby College
89,3,Sat.,2,Tufts University,Bowdoin College,Colby College
90,0,Fri.,0,Wesleyan University,Connecticut College,Connecticut College
91,0,Sat.,2,Wesleyan University,Trinity College,Connecticut College
92,1,Fri.,1,Wesleyan University,Colby College,Trinity College
93,1,Sat.,3,Wesleyan University,Bowdoin College,Trinity College
94,1,Sat.,8,Wesleyan University,Bates College,Trinity College
95,2,Sat.,2,Wesleyan University,Tufts University,Wesleyan University
96,3,Sat.,2,Wesleyan University,Hamilton College,Wesleyan University
97,4,Fri.,1,Wesleyan University,Middlebury College,Amherst College
98,4,Sat.,5,Wesleyan University,Williams College,Amherst College
99,4,Sat.,7,Wesleyan University,Amherst College,Amherst College
100,0,Fri.,0,Williams College,Bowdoin College,Bowdoin College
101,0,Sat.,5,Williams College,Colby College,Bowdoin College
102,0,Sat.,6,Williams College,Bates College,Bowdoin College
103,1,Sat.,1,Williams College,Tufts University,Tufts University
104,2,Fri.,0,Williams College,Hamilton College,Middlebury College
105,3,Fri.,0,Williams College,Amherst College,Williams College
106,3,Sat.,2,Williams College,Middlebury College,Williams College
107,4,Fri.,0,Williams College,Connecticut College,Amherst College
108,4,Sat.,5,Williams College,Wesleyan University,Amherst College
109,4,Sat.,6,Williams College,Trinity College,Amherst College
