,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Fri.,0,Wesleyan University,Bates College,Trinity College
1,0,Fri.,1,Trinity College,Bowdoin College,Trinity College
2,0,Fri.,2,Amherst College,Colby College,Trinity College
3,0,Sat.,3,Wesleyan University,Bowdoin College,Trinity College
4,0,Sat.,4,Amherst College,Bowdoin College,Trinity College
5,0,Sat.,5,Amherst College,Bates College,Trinity College
6,0,Sat.,6,Trinity College,Bates College,Trinity College
7,0,Sat.,7,Trinity College,Colby College,Trinity College
8,0,Sat.,8,Wesleyan University,Colby College,Trinity College
9,0,Fri.,0,Middlebury College,Connecticut College,Williams College
10,0,Sat.,1,Hamilton College,Connecticut College,Williams College
11,0,Sat.,2,Williams College,Connecticut College,Williams College
12,1,Fri.,0,Bates College,Bowdoin College,Bowdoin College
13,1,Sat.,1,Bowdoin College,Colby College,Bowdoin College
14,1,Sat.,2,Bates College,Colby College,Bowdoin College
15,1,Fri.,0,Connecticut College,Amherst College,Connecticut College
16,1,Sat.,1,Connecticut College,Wesleyan University,Connecticut College
17,1,Sat.,2,Connecticut College,Trinity College,Connecticut College
18,1,Fri.,0,Hamilton College,Tufts University,Williams College
19,1,Sat.,1,Williams College,Tufts University,Williams College
20,1,Sat.,2,Middlebury College,Tufts University,Williams College
21,2,Fri.,0,Amherst College,Williams College,Amherst College
22,2,Fri.,1,Trinity College,Middlebury College,Amherst College
23,2,Fri.,2,Wesleyan University,Hamilton College,Amherst College
24,2,Sat.,3,Amherst College,Middlebury College,Amherst College
25,2,Sat.,4,Wesleyan University,Williams College,Amherst College
26,2,Sat.,5,Amherst College,Hamilton College,Amherst College
27,2,Sat.,6,Trinity College,Hamilton College,Amherst College
28,2,Sat.,7,Trinity College,Williams College,Amherst College
29,2,Sat.,8,Wesleyan University,Middlebury College,Amherst College
30,2,Fri.,0,Bates College,Tufts University,Colby College
31,2,Sat.,1,Colby College,Tufts University,Colby College
32,2,Sat.,2,Bowdoin College,Tufts University,Colby College
33,3,Fri.,0,Bowdoin College,Connecticut College,Bates College
34,3,Sat.,1,Colby College,Connecticut College,Bates College
35,3,Sat.,2,Bates College,Connecticut College,Bates College
36,3,Fri.,0,Middlebury College,Hamilton College,Hamilton College
37,3,Sat.,1,Middlebury College,Williams College,Hamilton College
38,3,Sat.,2,Hamilton College,Williams College,Hamilton College
39,3,Fri.,0,Wesleyan University,Tufts University,Wesleyan University
40,3,Sat.,1,Amherst College,Tufts University,Wesleyan University
41,3,Sat.,2,Trinity College,Tufts University,Wesleyan University
42,4,Fri.,0,Hamilton College,Bates College,Middlebury College
43,4,Fri.,1,Middlebury College,Colby College,Middlebury College
44,4,Fri.,2,Williams College,Bowdoin College,Middlebury College
45,4,Sat.,3,Hamilton College,Bowdoin College,Middlebury College
46,4,Sat.,4,Hamilton College,Colby College,Middlebury College
47,4,Sat.,5,Middlebury College,Bowdoin College,Middlebury College
48,4,Sat.,6,Williams College,Colby College,Middlebury College
49,4,Sat.,7,Williams College,Bates College,Middlebury College
50,4,Sat.,8,Middlebury College,Bates College,Middlebury College
51,4,Sat.,0,Tufts University,Connecticut College,Tufts University
52,4,Fri.,0,Wesleyan University,Trinity College,Wesleyan University
53,4,Sat.,1,Trinity College,Amherst College,Wesleyan University
54,4,Sat.,2,Wesleyan University,Amherst College,Wesleyan University
