,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Fri.,0,Amherst College,Connecticut College,Amherst College
1,0,Sat.,3,Amherst College,Trinity College,Amherst College
2,0,Sat.,4,Amherst College,Wesleyan University,Amherst College
3,1,Fri.,0,Amherst College,Middlebury College,Tufts University
4,1,Sat.,2,Amherst College,Tufts University,Tufts University
5,2,Fri.,0,Amherst College,Bowdoin College,Bowdoin College
6,2,Sat.,4,Amherst College,Colby College,Bowdoin College
7,2,Sat.,5,Amherst College,Bates College,Bowdoin College
8,3,Sat.,0,Amherst College,Williams College,Williams College
9,4,Sat.,0,Amherst College,Hamilton College,Williams College
10,0,Fri.,0,Bates College,Middlebury College,Bates College
11,0,Sat.,2,Bates College,Tufts University,Bates College
12,1,Sat.,1,Bates College,Hamilton College,Hamilton College
13,2,Fri.,1,Bates College,Williams College,Bowdoin College
14,2,Sat.,5,Bates College,Amherst College,Bowdoin College
15,3,Fri.,0,Bates College,Connecticut College,Trinity College
16,3,Sat.,3,Bates College,Wesleyan University,Trinity College
17,3,Sat.,8,Bates College,Trinity College,Trinity College
18,4,Sat.,1,Bates College,Colby College,Colby College
19,4,Sat.,2,Bates College,Bowdoin College,Colby College
20,0,Fri.,1,Bowdoin College,Tufts University,Bates College
21,0,Sat.,4,Bowdoin College,Middlebury College,Bates College
22,1,Sat.,2,Bowdoin College,Hamilton College,Hamilton College
23,2,Fri.,0,Bowdoin College,Amherst College,Bowdoin College
24,2,Sat.,3,Bowdoin College,Williams College,Bowdoin College
25,3,Fri.,2,Bowdoin College,Wesleyan University,Trinity College
26,3,Sat.,4,Bowdoin College,Trinity College,Trinity College
27,3,Sat.,6,Bowdoin College,Connecticut College,Trinity College
28,4,Fri.,0,Bowdoin College,Colby College,Colby College
29,4,Sat.,2,Bowdoin College,Bates College,Colby College
30,0,Sat.,3,Colby College,Middlebury College,Bates College
31,0,Sat.,5,Colby College,Tufts University,Bates College
32,1,Fri.,0,Colby College,Hamilton College,Hamilton College
33,2,Sat.,2,Colby College,Williams College,Bowdoin College
34,2,Sat.,4,Colby College,Amherst College,Bowdoin College
35,3,Fri.,1,Colby College,Trinity College,Trinity College
36,3,Sat.,5,Colby College,Connecticut College,Trinity College
37,3,Sat.,7,Colby College,Wesleyan University,Trinity College
38,4,Fri.,0,Colby College,Bowdoin College,Colby College
39,4,Sat.,1,Colby College,Bates College,Colby College
40,0,Fri.,0,Connecticut College,Amherst College,Amherst College
41,0,Sat.,2,Connecticut College,Williams College,Amherst College
42,1,Fri.,0,Connecticut College,Wesleyan University,Connecticut College
43,1,Sat.,2,Connecticut College,Trinity College,Connecticut College
44,2,Sat.,2,Connecticut College,Hamilton College,Connecticut College
45,3,Fri.,0,Connecticut College,Bates College,Trinity College
46,3,Sat.,5,Connecticut College,Colby College,Trinity College
47,3,Sat.,6,Connecticut College,Bowdoin College,Trinity College
48,4,Sat.,2,Connecticut College,Middlebury College,Wesleyan University
49,4,Sat.,4,Connecticut College,Tufts University,Wesleyan University
50,1,Fri.,0,Hamilton College,Colby College,Hamilton College
51,1,Sat.,1,Hamilton College,Bates College,Hamilton College
52,1,Sat.,2,Hamilton College,Bowdoin College,Hamilton College
53,2,Fri.,0,Hamilton College,Wesleyan University,Connecticut College
54,2,Sat.,1,Hamilton College,Trinity College,Connecticut College
55,2,Sat.,2,Hamilton College,Connecticut College,Connecticut College
56,3,Sat.,0,Hamilton College,Middlebury College,Middlebury College
