,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Fri.,0,Bowdoin College,Hamilton College,Bowdoin College
1,0,Fri.,1,Bates College,Middlebury College,Bowdoin College
2,0,Sat.,2,Bowdoin College,Middlebury College,Bowdoin College
3,0,Sat.,3,Bates College,Hamilton College,Bowdoin College
4,0,Sat.,4,Colby College,Hamilton College,Bowdoin College
5,0,Sat.,5,Colby College,Middlebury College,Bowdoin College
6,0,Sat.,0,Tufts University,Amherst College,Tufts University
7,0,Fri.,0,Williams College,Connecticut College,Williams College
8,0,Sat.,1,Williams College,Wesleyan University,Williams College
9,0,Sat.,2,Williams College,Trinity College,Williams College
10,1,Fri.,0,Tufts University,Wesleyan University,Amherst College
11,1,Fri.,1,Amherst College,Trinity College,Amherst College
12,1,Sat.,2,Amherst College,Connecticut College,Amherst College
13,1,Sat.,3,Tufts University,Trinity College,Amherst College
14,1,Sat.,4,Tufts University,Connecticut College,Amherst College
15,1,Sat.,5,Amherst College,Wesleyan University,Amherst College
16,1,Fri.,0,Bowdoin College,Williams College,Bates College
17,1,Sat.,1,Bates College,Williams College,Bates College
18,1,Sat.,2,Colby College,Williams College,Bates College
19,1,Sat.,0,Middlebury College,Hamilton College,Hamilton College
20,2,Fri.,0,Bowdoin College,Amherst College,Bates College
21,2,Fri.,1,Colby College,Tufts University,Bates College
22,2,Sat.,2,Bates College,Tufts University,Bates College
23,2,Sat.,3,Bowdoin College,Tufts University,Bates College
24,2,Sat.,4,Bates College,Amherst College,Bates College
25,2,Sat.,5,Colby College,Amherst College,Bates College
26,2,Fri.,0,Wesleyan University,Trinity College,Connecticut College
27,2,Sat.,1,Connecticut College,Trinity College,Connecticut College
28,2,Sat.,2,Wesleyan University,Connecticut College,Connecticut College
29,2,Sat.,0,Hamilton College,Williams College,Hamilton College
30,2,Sat.,1,Middlebury College,Williams College,Hamilton College
31,3,Fri.,0,Colby College,Bates College,Colby College
32,3,Sat.,1,Bowdoin College,Bates College,Colby College
33,3,Sat.,2,Bowdoin College,Colby College,Colby College
34,3,Sat.,0,Tufts University,Williams College,Tufts University
35,3,Sat.,1,Amherst College,Williams College,Tufts University
36,3,Fri.,0,Trinity College,Middlebury College,Wesleyan University
37,3,Fri.,1,Connecticut College,Hamilton College,Wesleyan University
38,3,Sat.,2,Wesleyan University,Hamilton College,Wesleyan University
39,3,Sat.,3,Trinity College,Hamilton College,Wesleyan University
40,3,Sat.,4,Connecticut College,Middlebury College,Wesleyan University
41,3,Sat.,5,Wesleyan University,Middlebury College,Wesleyan University
42,4,Fri.,0,Middlebury College,Amherst College,Middlebury College
43,4,Fri.,1,Hamilton College,Tufts University,Middlebury College
44,4,Sat.,2,Middlebury College,Tufts University,Middlebury College
45,4,Sat.,3,Hamilton College,Amherst College,Middlebury College
46,4,Fri.,0,Wesleyan University,Colby College,Trinity College
47,4,Fri.,1,Connecticut College,Bowdoin College,Trinity College
48,4,Fri.,2,Trinity College,Bates College,Trinity College
49,4,Sat.,3,Connecticut College,Colby College,Trinity College
50,4,Sat.,4,Wesleyan University,Bowdoin College,Trinity College
51,4,Sat.,5,Trinity College,Bowdoin College,Trinity College
52,4,Sat.,6,Wesleyan University,Bates College,Trinity College
53,4,Sat.,7,Trinity College,Colby College,Trinity College
54,4,Sat.,8,Connecticut College,Bates College,Trinity College
