,Week,Day (Str),Time Slot,Team 1,Team 2,Location
0,0,Sat.,0,Amherst College,Tufts University,Amherst College
1,1,Fri.,1,Amherst College,Trinity College,Tufts University
2,1,Sat.,2,Amherst College,Wesleyan University,Tufts University
3,1,Sat.,3,Amherst College,Connecticut College,Tufts University
4,2,Fri.,1,Amherst College,Bowdoin College,Bates College
5,2,Sat.,3,Amherst College,Bates College,Bates College
6,2,Sat.,5,Amherst College,Colby College,Bates College
7,3,Sat.,0,Amherst College,Williams College,Amherst College
8,4,Fri.,0,Amherst College,Hamilton College,Middlebury College
9,4,Sat.,3,Amherst College,Middlebury College,Middlebury College
10,0,Sat.,3,Bates College,Middlebury College,Bowdoin College
11,0,Sat.,4,Bates College,Hamilton College,Bowdoin College
12,1,Sat.,1,Bates College,Williams College,Bates College
13,2,Fri.,0,Bates College,Tufts University,Bates College
14,2,Sat.,3,Bates College,Amherst College,Bates College
15,3,Sat.,1,Bates College,Colby College,Colby College
16,3,Sat.,2,Bates College,Bowdoin College,Colby College
17,4,Fri.,2,Bates College,Connecticut College,Connecticut College
18,4,Sat.,3,Bates College,Trinity College,Connecticut College
19,4,Sat.,5,Bates College,Wesleyan University,Connecticut College
20,0,Fri.,1,Bowdoin College,Middlebury College,Bowdoin College
21,0,Sat.,2,Bowdoin College,Hamilton College,Bowdoin College
22,1,Sat.,2,Bowdoin College,Williams College,Bates College
23,2,Fri.,1,Bowdoin College,Amherst College,Bates College
24,2,Sat.,4,Bowdoin College,Tufts University,Bates College
25,3,Fri.,0,Bowdoin College,Colby College,Colby College
26,3,Sat.,2,Bowdoin College,Bates College,Colby College
27,4,Fri.,1,Bowdoin College,Wesleyan University,Connecticut College
28,4,Sat.,6,Bowdoin College,Connecticut College,Connecticut College
29,4,Sat.,7,Bowdoin College,Trinity College,Connecticut College
30,0,Fri.,0,Colby College,Hamilton College,Bowdoin College
31,0,Sat.,5,Colby College,Middlebury College,Bowdoin College
32,1,Fri.,0,Colby College,Williams College,Bates College
33,2,Sat.,2,Colby College,Tufts University,Bates College
34,2,Sat.,5,Colby College,Amherst College,Bates College
35,3,Fri.,0,Colby College,Bowdoin College,Colby College
36,3,Sat.,1,Colby College,Bates College,Colby College
37,4,Fri.,0,Colby College,Trinity College,Connecticut College
38,4,Sat.,4,Colby College,Wesleyan University,Connecticut College
39,4,Sat.,8,Colby College,Connecticut College,Connecticut College
40,0,Sat.,1,Connecticut College,Williams College,Williams College
41,1,Sat.,3,Connecticut College,Amherst College,Tufts University
42,1,Sat.,4,Connecticut College,Tufts University,Tufts University
